probe_config,condition,public_condition,scan_id,pa_s_mm,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm_raw,source_to_focus_mm_raw,ut_path_mm_display,geometry_center_mm_display,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,path_correction_factor,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,edm_detectability_db,detection_status,minus_6db_width_scan_id,minus_6db_s_min_mm,minus_6db_s_max_mm,minus_6db_length_raw_mm,minus_6db_calibration_factor,minus_6db_length_calibrated_mm,calibration_reference,v62f_layer,physics_chain,public_label,confidential_name_displayed,display_note,hardware_status
1D16,PA1_TO_C1,PA1 → C1,0,0.0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,40.04551954692235,39.498834974233624,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,1.559297349165172,1.3706936541662302,-0.5759963036720268,0.972933422169452,0.4667577836928656,0.5962322826943547,0.8657679093390813,2.406005758984964,84.27358860000197,2.854993834907023,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,22.31720286891192,-13.027204774188094,WEAK,13.0,0.0,21.890849196385524,21.890849196385524,0.18272475243493314,4.0,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,0,0.0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,40.04551954692235,39.49883497423363,4.915821014845835,4.763938398933852,58.16985941300453,2.225007314391579,32,1.559297349165172,1.3706936541662302,-0.5759963036720268,0.955776065577111,0.4585266657616795,0.5831568414065132,0.8499827632454987,2.8021866909131745,100.07488646250235,2.8000898027130336,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,22.39659962268439,-12.996358273677693,WEAK,9.0,0.0,15.17794705718902,15.17794705718902,0.26354025250769364,3.9999999999999996,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,49,80.97110238030359,EDM_02,C1,-66.245,159.7865,-51.63,3.0,-76.23332909894982,177.76107722107247,-72.31877421999998,-63.3035440285758,160.89279168331342,-51.8,29.169804990629626,29.54214776282818,28.70410717985145,28.84875253640041,3.1472121822965113,3.1009499756350203,29.004510553359978,2.224485494491333,32,2.205651888675213,2.7425620440623044,0.5646950796028825,0.9810987572510873,0.8155824330969732,1.20525870833034,1.5135102083101868,7.40577129330079,192.94467165221158,3.838287541129879,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,59.19095079963274,-4.5548936757386675,MEDIUM,20.0,64.82117796941134,96.9082126479158,32.087034678504466,0.26354025250769364,8.45622522139619,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,95,152.919166023382,EDM_03,C1,0.0,173.11,-51.63,3.0,-5.373589645022878,186.76903409992192,-65.74641227,4.46832107978627,172.8396788340046,-51.8,20.36462063463331,22.031626359487372,25.283525055664956,25.9311128576704,4.479717268405168,3.978297561994094,19.97225380623741,2.4072542881538093,32,2.6397668511724497,3.9283815512844438,-0.9884806893124908,0.9681801294764141,1.152838585753867,1.6985885352942092,2.1377141736202074,12.511661315206887,258.7189845630909,4.83600433742264,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,100.0,0.0,STRONG,19.0,137.50563061066026,166.75624358751023,29.250612976849965,0.26354025250769364,7.70871392992386,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,140,222.70861144600116,EDM_04,C1,67.37,159.429,-51.63,8.0,63.760866696173906,180.03991850661208,-69.9021585,70.15830933496864,158.02353773571153,-51.8,27.779625287971633,29.211922855660678,28.164058993684794,28.720468860698713,3.1271221792267867,2.7075889274381364,27.647360513078418,1.5603086085996625,32,2.2601670608456694,2.879808462882305,0.9998750557416156,0.9850154054186563,1.404072937247091,1.2720180677659272,2.60562151824121,11.340675036419508,195.1258062731552,5.811981127982518,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,90.64084097797516,-0.8535214736611287,STRONG,21.0,205.4260246555985,238.6093048137575,33.18328015815899,0.26354025250769364,8.745130031914762,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,160,254.71628884401153,EDM_05,C1,95.60149999999999,144.254,-51.63,3.0,94.31223338190297,172.17488171092018,-75.21046543999998,96.48753413538964,143.47098968365705,-51.8,36.56878715919862,37.10384404611377,31.578416804697234,31.78627230763835,1.1945968544137189,1.0602305722226384,36.55341441546186,0.90787649850048,32,1.9699193883057837,2.187658006040175,-0.7783453190340295,0.9977054851069816,0.661577103211383,0.9816582919909872,1.2285095798633279,5.3742507994190465,153.62289667118776,3.4983397109885357,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,42.95393444583647,-7.339940999934135,MEDIUM,22.0,237.0063696146538,272.67215630886335,35.665786694209544,0.26354025250769364,9.399370431277523,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA2_TO_C2,PA2 → C2,172,186.0036520622148,EDM_06,C2,94.9125,178.63,-51.36,4.0,74.69654769593639,139.3256928081772,-97.01785697,95.43,179.51,-51.8,63.5464648464596,63.947706588204085,28.335129734630602,28.55637750705321,1.1116682283847115,1.0334392848740028,63.53806101642388,0.2217264168521389,32,1.5034668871433408,1.258921329350032,-0.6806010171039806,0.9978494331921215,0.43967487722389054,0.5650070030624716,0.8164621611494983,2.601128274866355,89.13533110273313,2.918178731919915,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,85.51453897211947,-1.359200826238511,STRONG,24.0,172.69684299520657,199.60989694252424,26.913053947317678,0.15221560880479393,4.096586891387223,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA2_TO_C2,PA2 → C2,145,156.44724828385645,EDM_07,C2,61.687000000000005,192.4055,-51.36,6.0,47.598933361388006,151.04939742262195,-96.73057258,61.85,193.66,-51.8,62.98642471391462,63.54142510765764,28.026319312130383,28.332350784019237,1.3393801738117581,1.213589072010479,62.97473223290379,0.2818733538565858,32,1.5101360894433649,1.2701149551409103,-0.9999039907477321,0.9970134265676914,0.5428223370419721,0.5694426694443301,1.0079608158391722,3.0417380554602627,89.7052590549007,3.390813523651587,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,100.0,0.0,STRONG,25.0,143.70649958919824,170.51095708830846,26.804457499110214,0.15221560880479393,4.080056816909285,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA2_TO_C2,PA2 → C2,117,126.98869455077842,EDM_08,C2,24.747500000000002,200.793,-51.36,4.0,19.045432453321975,158.07682644507008,-95.87908322999999,24.94,201.76,-51.8,61.96074425893737,62.337237320800035,27.46075124611986,27.668352406725745,1.0796968324487979,1.0088340831708646,61.952530883847444,0.2974073162938921,32,1.5225839668842043,1.2911400751688131,0.8590253697494931,0.9979534521202563,0.4509741933149335,0.5795412179848968,0.8374491004320248,2.7019261754580235,91.43812342319,2.9549230389966388,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,88.82836477676838,-1.0289666531180328,STRONG,25.0,113.53123577428069,139.50276557565664,25.97152980137595,0.15221560880479393,3.953272220308289,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA2_TO_C2,PA2 → C2,74,82.38248106569033,EDM_09,C2,-33.2785,199.578,-51.36,4.0,-25.38325947836276,158.00749812419178,-95.07276046,-32.97,200.61,-51.8,60.83787369833381,61.19692472379177,26.841591810782084,27.039575298799175,1.1635275028979855,1.1034454771896978,60.827866017256326,0.2757563624301511,32,1.5365707144359846,1.3149703488435855,0.4468376798476278,0.9975621453098996,0.45911762477396,0.5899497323682001,0.8525590544140536,2.7758842811055056,93.14193524799767,2.980273357767903,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,91.25980707386951,-0.794409073494301,STRONG,25.0,68.63261986334881,94.91113381739228,26.278513954043476,0.15221560880479393,4.0,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA2_TO_C2,PA2 → C2,20,23.348301668563124,EDM_10,C2,-100.4165,175.5925,-51.36,3.0,-81.00797007779988,139.09895099755246,-94.14684997,-101.35,176.24,-51.8,59.49104708181111,59.88748955115404,26.09894128930448,26.317542706132386,1.2183096896930596,1.1481306120280186,59.47996703923087,0.3569490767296273,32,1.5538666965915728,1.3447401571195294,0.8395677717373885,0.9973563824204545,0.4065251524858225,0.603152166491098,0.7548898899395192,2.6048071088411597,95.178476217996,2.7367606756753813,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,85.6354840997974,-1.3469248570357915,STRONG,25.0,9.438793830561238,38.06759602239129,28.628802191830054,0.15221560880479393,4.357750554981431,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
1D32,PA2_TO_C2,PA2 → C2,1,1.1855061690128526,EDM_11,C2,-122.10400000000001,161.2415,-51.36,3.0,-100.07751745712665,127.90456797971204,-92.79835192,-122.74,162.07,-51.8,57.56434642712947,57.980425320060604,25.036543777719185,25.265972869051613,1.1333614824935423,1.0503900327080424,57.554762273523124,0.4527382305324785,32,1.5796569263495395,1.389749123639782,0.7749186392204913,0.9977764564293587,0.42030865877147905,0.6236666672372462,0.7804968171172342,2.7379380549296743,98.30904082774745,2.7850318056982797,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,90.01228919152872,-0.913963863720642,STRONG,13.0,0.0,15.275582291730364,15.275582291730364,0.15221560880479393,2.325182058383467,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
2D8x8,PA1_TO_C1,PA1 → C1,0,0.0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985944,151.2775293093675,-92.07492606,-124.23,120.25,-51.800000000000004,58.364609595178024,56.95734665795265,40.04551954692235,39.498834974233624,4.915821014845836,4.763938398933851,58.16985941300452,0.5193508914413556,64,1.559297349165172,1.3706936541662305,-0.5759963036719339,0.9263822578494529,0.4444251987582504,0.5608740570775764,0.8229895381496478,3.1359304569669337,115.87618432500274,2.7062769414045076,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,22.181557687817598,-13.080159180446012,WEAK,6.0,0.0,10.124115299927487,10.124115299927487,0.3950962510303147,4.0,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
2D8x8,PA1_TO_C1,PA1 → C1,49,80.97110238030362,EDM_02,C1,-66.245,159.7865,-51.63,3.0,-76.23332909894982,177.76107722107247,-72.31877422,-63.3035440285758,160.8927916833134,-51.800000000000004,29.169804990629636,29.5421477628282,28.704107179851455,28.84875253640042,3.1472121822965016,3.1009499756350047,29.004510553359985,0.5438550066887391,64,2.2056518886752126,2.7425620440623035,0.5646950796028356,0.9682444109027858,0.8048966800133659,1.1855815242279517,1.493046138284178,8.451786249871182,223.4096198078238,3.7830896705080916,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,59.78250692712921,-4.468517543114202,MEDIUM,16.0,66.44720134203456,92.14907061731017,25.701869275275612,0.3950962510303147,10.154712195132626,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
2D8x8,PA1_TO_C1,PA1 → C1,95,152.919166023382,EDM_03,C1,0.0,173.11,-51.63,3.0,-5.373589645022878,186.76903409992192,-65.74641227,4.4683210797862705,172.83967883400462,-51.800000000000004,20.36462063463331,22.03162635948735,25.283525055664956,25.93111285767039,4.479717268405167,3.9782975619941094,19.972253806237408,0.6089614817733713,64,2.6397668511724497,3.9283815512844438,-0.9884806893124908,0.946894840370699,1.1274936092945123,1.6523221687755092,2.088919099249236,14.137557429923993,299.5693505467371,4.719293680786056,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,100.0,0.0,STRONG,16.0,139.0504266380648,163.6727889063951,24.622362268330306,0.3950962510303147,9.72820302372758,4 mm EDM at Z≈-51.8 mm; provisional before real block calibration,Final CIVA-like dB Twin demonstrator before Streamlit,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Dark-to-red dB display; 0 dB = 100%; two geometry echoes,Wedge/refraction/card export pending
