probe_config,condition,public_condition,scan_id,pa_s_mm,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm_raw,source_to_focus_mm_raw,ut_path_mm_display,geometry_center_mm_display,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,path_correction_factor,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,edm_detectability_db
1D16,PA1_TO_C1,PA1 → C1,0,0.0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,40.04551954692235,39.498834974233624,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,1.559297349165172,1.3706936541662302,-0.5759963036720268,0.972933422169452,0.4667577836928656,0.5962322826943547,0.8657679093390813,2.406005758984964,84.27358860000197,2.854993834907023,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,22.31720286891192,-13.027204774188094
1D16,PA1_TO_C1,PA1 → C1,21,35.23778929418445,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-118.90312329828164,164.55897120733982,-81.9360958,-100.2819634722582,140.840773871955,-51.8,57.71483497209914,42.63196861714625,39.79309922605308,33.933803049010336,36.304628506438554,36.2321571922688,44.9247477572369,1.067087249592328,16,1.568050350606874,1.386125422322945,-0.5456037100719403,0.20721008648419922,0.10052670902311961,0.08877175091536772,0.1745521055287958,0.45642880539958613,112.5915634604187,0.40538455224493136,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,4.233661622495451,-27.46567712262696
1D16,PA1_TO_C1,PA1 → C1,22,36.89441236736583,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-117.4015799372483,165.12263995325603,-81.52131262,-99.0531156252312,141.7115446465763,-51.8,58.198622107938135,42.04880438161801,39.981037781551386,33.70725910866066,37.797772591229496,37.72997232655327,44.31172309333175,1.0654371423802864,16,1.5615193911586203,1.3746029906279897,0.8418060944438295,0.1814537622872083,0.0872994095052439,0.07468556553896194,0.15073132322756844,0.3906500509461748,114.15306738420273,0.3422159911230169,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,3.623522680758073,-28.81738031905288
1D16,PA1_TO_C1,PA1 → C1,23,38.55925799904916,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-115.89026747389566,165.6832415368084,-81.10493361,-97.8140229190828,142.56760508096949,-51.8,58.723601131453144,41.471223756364104,40.184978300092084,33.482884253786146,39.289554233955805,39.22623970896583,43.70084035966308,1.0689957442861004,16,1.5545238622340758,1.3623142732837434,0.821414444279494,0.15807023173081308,0.07536946650385443,0.07104487091865161,0.1293718553863224,0.3429729740768092,115.74290713481538,0.29632310313177124,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,3.181288079815462,-29.947940036215943
1D16,PA1_TO_C1,PA1 → C1,24,40.21568904688476,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-114.38374866471656,166.23508939740233,-80.6930734,-96.56919061106257,143.41537880798327,-51.8,59.284497386124904,40.9011902092059,40.40287171659356,33.261441239902155,40.78109045532333,40.72257344841833,43.08507446974677,1.0664711597004717,16,1.5471526369571775,1.3494252886880913,0.13572250534907157,0.13696349201516098,0.06468769991330069,0.06800433848922076,0.11036212835687517,0.30083351602018404,117.35599808828137,0.25634268458428616,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,2.790418344477648,-31.086613632891847
1D16,PA1_TO_C1,PA1 → C1,25,41.86556430322627,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-112.87708954377928,166.7784937043893,-80.29712085999998,-95.31611782598392,144.25087126756995,-51.8,59.886468128403614,40.3480779918764,40.63672148930384,33.04657171681511,42.271618903113605,42.21814030152739,42.4737294615725,1.0674328546458476,16,1.5393571122296072,1.3358610467471652,-0.287962740596101,0.1180500704990826,0.05519447176091839,0.06497300184532388,0.095118772374132,0.2651219311320815,118.96477450465973,0.22285750738904392,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,2.4591711387126955,-32.184224935495656
1D16,PA1_TO_C1,PA1 → C1,26,43.514549919286736,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-111.37036182984778,167.31584232356897,-79.89689390000001,-94.0584099843881,145.07942248890697,-51.8,60.520332419956375,39.79444044826767,40.88296106557903,32.83149811830983,43.762083771678085,43.713548257550826,41.854943972687366,1.069741948687259,16,1.531274606609011,1.321869804760363,-0.39873243915953915,0.10120648369746278,0.04682362819597679,0.061971208497354255,0.09350882775051347,0.2478259713494475,120.6198641300145,0.20546033038332664,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,2.2987403326599174,-32.77020168346258
1D16,PA1_TO_C1,PA1 → C1,27,45.173821972157484,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-109.84883488179057,167.85016377831334,-79.50620210999999,-92.79086403932423,145.89280952110386,-51.8,61.19796780323364,39.252177144703644,41.14620455771285,32.62084311237457,45.250993960272154,45.20688893158556,41.249587347910634,1.0701517962031808,16,1.522773227166875,1.307232950238143,-0.10226016340154877,0.08632147599541853,0.0394947972070407,0.05899990259268302,0.09185029960529505,0.23188181521524587,122.28621057896328,0.1896222101555056,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,2.1508483479081018,-33.3478041956772
1D16,PA1_TO_C1,PA1 → C1,28,46.81566783885799,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-108.34177621247846,168.3729833905493,-79.11749698999998,-91.51717346437468,146.69657134598236,-51.8,61.89950832214682,38.71924248427397,41.41873456519109,32.413812038506855,46.739342688637194,46.70035542372633,40.62789600534537,1.0718014708145862,16,1.5141194325519893,1.2924173740387703,0.42391549559849817,0.07323329247538386,0.03312679284363709,0.05608443574633688,0.0901772465737865,0.2172924609770557,123.96936747792898,0.1752791559703179,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,2.015522995072093,-33.91224485246666
1D16,PA1_TO_C1,PA1 → C1,29,48.46808132623432,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-106.81977257639309,168.8926958202528,-78.73818939,-90.23528945900809,147.48719891243675,-51.8,62.642459068863516,38.19563359538443,41.70735135509844,32.21040378116798,48.22645758437112,48.19193097904119,40.0201882392571,1.0703829270771177,16,1.5051137873901352,1.2770890732762448,0.9819927464101383,0.061811483097046586,0.027628569383183123,0.053219435914623914,0.08846804767539587,0.20387194060515698,125.66881468304882,0.16222954049446986,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,1.8910393047785232,-34.46598888718141
1D16,PA1_TO_C1,PA1 → C1,30,50.11250934701744,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-105.30238674884818,169.40373249527613,-78.36332236999998,-88.94780272681719,148.268662840241,-51.8,63.412778239065155,37.67988433089199,42.00660005642921,32.010048780822785,49.713052154102336,49.68310425803046,39.40519756685063,1.0717564149925425,16,1.4959440218422853,1.261575383093945,0.5241293508679807,0.05189644345656724,0.022914946437226223,0.05042242935840921,0.08674664416432377,0.19158138612126563,127.38892608714042,0.15039092643752594,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,1.7770367523057748,-35.006071802267186
