condition;probe_type;scan_id;element_id;frequency_mhz;pitch_x_mm;pitch_y_mm;pa_x;pa_y;pa_z;focus_x;focus_y;focus_z;element_x;element_y;element_z;distance_mm;delay_us
A_PA1_to_C1;2D;0;44;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.6174076827772;151.60452680956251;-91.53652104787045;57.08233299941862;0.23716113253141913
A_PA1_to_C1;2D;0;45;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.10454924764443;151.84899142697543;-91.3436136183964;56.84791936361321;0.3097350135857262
A_PA1_to_C1;2D;0;46;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-149.59169081251164;152.09345604438838;-91.15070618892234;56.61889376601439;0.3806407713562585
A_PA1_to_C1;2D;0;47;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-149.07883237737883;152.33792066180132;-90.95779875944828;56.39532185033237;0.44985808271291816
A_PA1_to_C1;2D;0;48;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-148.56597394224605;152.58238527921426;-90.76489132997422;56.1772687296021;0.5173667888213629
A_PA1_to_C1;2D;0;49;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-152.4579373450765;151.1706194965913;-91.69200418504826;57.829690944275804;0.005780963844983944
A_PA1_to_C1;2D;0;50;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-151.9450789099437;151.41508411400426;-91.4990967555742;57.579565385871135;0.08321921722104264
A_PA1_to_C1;2D;0;51;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-151.4322204748109;151.6595487314172;-91.30618932610014;57.33462780328448;0.15905128613331954
A_PA1_to_C1;2D;0;52;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.9193620396781;151.90401334883015;-91.11328189662608;57.09494496587693;0.2332564989529935
A_PA1_to_C1;2D;0;53;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.40650360454532;152.14847796624306;-90.92037446715203;56.86058332423146;0.3058142827441621
A_PA1_to_C1;2D;0;54;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-149.89364516941254;152.392942583656;-90.72746703767797;56.63160894136086;0.3767041845616852
A_PA1_to_C1;2D;0;55;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-149.38078673427972;152.63740720106895;-90.5345596082039;56.40808742195196;0.4459058933570077
A_PA1_to_C1;2D;0;56;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-148.86792829914694;152.8818718184819;-90.34165217872984;56.19008383974818;0.5133992624603465
