probe_config,condition,public_condition,scan_id,probe_type,n_elements,pa_x,pa_y,pa_z,source_x,source_y,source_z,focus_x,focus_y,focus_z,beam_dx,beam_dy,beam_dz,source_to_focus_mm,aperture_mm,delay_min_us,delay_max_us,delay_span_us,pa_s_mm,geometry_center_mm_display
1D16,PA2_TO_C2,PA2 → C2,117,1D,16,19.045432453321972,158.07682644507008,-95.87908323,19.045432453321975,158.07682644507008,-95.87908323,24.94,201.76,-51.8,0.09455933243148694,0.7007556868477738,0.7071067811869833,62.33723732080004,8.999999999999998,0.0,0.0947239320984074,0.0947239320984074,126.98869455077842,46.966154404955816
1D16,PA2_TO_C2,PA2 → C2,118,1D,16,20.070883434314517,157.91985810902702,-95.90934619,20.070883434314513,157.91985810902702,-95.90934619,26.28,201.59,-51.8,0.09953691922489401,0.7000659981105624,0.7071067811870275,62.380035609265654,8.999999999999998,0.0,0.1009487343936967,0.1009487343936967,128.02653105991013,46.9835433660653
1D16,PA2_TO_C2,PA2 → C2,119,1D,16,21.09694961558373,157.75574351200487,-95.93892042,21.096949615583732,157.75574351200487,-95.93892042,27.62,201.41,-51.8,0.10449945574010233,0.6993424509846937,0.7071067811870734,62.421859886424336,9.000000000000012,0.0,0.1074509336497477,0.1074509336497477,129.0660598206379,47.00053658600513
1D16,PA2_TO_C2,PA2 → C2,120,1D,16,22.1220220283788,157.5838169518908,-95.97858347,22.122022028378797,157.5838169518908,-95.97858346999999,28.96,201.23,-51.8,0.10944625684127907,0.6985853683427834,0.7071067811871206,62.47795190965519,9.0,0.0,0.1058265112838867,0.1058265112838867,130.10620661368273,47.02332679667669
1D16,PA2_TO_C2,PA2 → C2,121,1D,16,23.14942010709897,157.405365420467,-96.00678155,23.14942010709897,157.405365420467,-96.00678155000001,30.3,201.03,-51.8,0.11437664888524193,0.6977950861025768,0.7071067811871694,62.51783001681975,9.000000000000005,0.0,0.0950854116836801,0.0950854116836801,131.14936858238227,47.03952928699734
1D16,PA2_TO_C2,PA2 → C2,122,1D,16,24.170220654329302,157.22120045361947,-96.03238214,24.170220654329302,157.22120045361947,-96.03238214,31.63,200.82,-51.8,0.11925336837587967,0.6969782163956474,0.7071067811872184,62.554034718398114,9.000000000000002,0.0,0.1013286539610831,0.1013286539610831,132.18696478633063,47.05423927121161
1D16,PA2_TO_C2,PA2 → C2,123,1D,16,25.19738627681331,157.02777733597077,-96.0698956,25.19738627681331,157.02777733597077,-96.0698956,32.97,200.61,-51.8,0.12414910396162167,0.696122833977241,0.7071067811872696,62.60708676229707,9.000000000000002,0.0,0.1075540233386398,0.1075540233386398,133.2328562616449,47.0757943371082
1D16,PA2_TO_C2,PA2 → C2,124,1D,16,26.21796245385821,156.82875000829532,-96.10464797,26.21796245385821,156.82875000829534,-96.10464797,34.3,200.39,-51.8,0.12899015829122715,0.6952420722762035,0.7071067811873213,62.656234035271055,9.000000000000012,0.0,0.0965839216961157,0.0965839216961157,134.27323856519195,47.09576289307203
1D16,PA2_TO_C2,PA2 → C2,125,1D,16,27.241414243584373,156.6230790605897,-96.12788307,27.241414243584373,156.6230790605897,-96.12788307,35.63,200.15,-51.8,0.13381252300197657,0.6943300430535019,0.7071067811873732,62.6890934288095,9.000000000000009,0.0,0.0949703193508817,0.0949703193508817,135.31740999484123,47.1091136773395
1D16,PA2_TO_C2,PA2 → C2,126,1D,16,28.263820635326816,156.4097097568513,-96.16100525,28.263820635326816,156.4097097568513,-96.16100525,36.96,199.91,-51.8,0.13861560089832664,0.6933871322618794,0.7071067811874263,62.73593526497611,9.000000000000002,0.0,0.1009611716368006,0.1009611716368006,136.36236854352225,47.128145533439366
1D16,PA2_TO_C2,PA2 → C2,127,1D,16,29.287189223265948,156.1891376404356,-96.19331567,29.287189223265948,156.1891376404356,-96.19331567,38.29,199.66,-51.8,0.14339880799393265,0.6924137360455815,0.70710678118748,62.781629099141256,9.0,0.0,0.0991988144600206,0.0991988144600206,137.40973633401478,47.146710955883286
1D16,PA2_TO_C2,PA2 → C2,128,1D,16,30.311573262117754,155.9613297060287,-96.22482285,30.311573262117754,155.9613297060287,-96.22482285,39.62,199.4,-51.8,0.1481615737842811,0.6914102603030777,0.7071067811875341,62.82618698040451,9.000000000000005,0.0,0.1037244224889306,0.1037244224889306,138.4596181447081,47.16481484022507
1D16,PA2_TO_C2,PA2 → C2,129,1D,16,31.327490088262778,155.7277576000829,-96.26372833,31.327490088262774,155.7277576000829,-96.26372833000002,40.94,199.14,-51.8,0.15286776881092676,0.6903849978506899,0.7071067811875884,62.881207637866275,9.000000000000009,0.0,0.1002899014491305,0.1002899014491305,139.50276557565664,47.187169754571464
1D16,PA2_TO_C2,PA2 → C2,130,1D,16,32.346799557316906,155.48737910086453,-96.29107536,32.34679955731691,155.48737910086453,-96.29107536000001,42.26,198.86,-51.8,0.15755274961494095,0.6893309300236156,0.7071067811876427,62.91988217857799,9.000000000000016,0.0,0.091060809191628,0.091060809191628,140.5503921678352,47.202883235378145
1D16,PA2_TO_C2,PA2 → C2,131,1D,16,33.36732440690331,155.2397583375813,-96.31750875,33.36732440690331,155.2397583375813,-96.31750875,43.58,198.57,-51.8,0.16221599924880695,0.688248479537794,0.7071067811876972,62.95726463721057,9.000000000000005,0.0,0.0965139098471219,0.0965139098471219,141.6008614606464,47.218071742737756
1D16,PA2_TO_C2,PA2 → C2,132,1D,16,34.386623431911964,154.9845990317281,-96.35359505,34.386623431911964,154.9845990317281,-96.35359505,44.9,198.28,-51.8,0.16685701470627928,0.6871380768387133,0.7071067811877517,63.00829837208149,8.999999999999993,0.0,0.1024153464418624,0.1024153464418624,142.6522315167136,47.23880676889786
1D16,PA2_TO_C2,PA2 → C2,133,1D,16,35.40710780563987,154.72219281077383,-96.38874881,35.40710780563987,154.72219281077383,-96.38874880999998,46.22,197.98,-51.8,0.17147530708845538,0.68600015966262,0.7071067811878061,63.05801329623694,8.999999999999991,0.0,0.0931139268021787,0.0931139268021787,143.70649958919824,47.25900596175565
