condition,scan_id,probe_x,probe_y,probe_z,focus_x,focus_y,focus_z,n_elements,scan_s_mm,scan_pixel
A_PA1_to_C1,23,-105.00098799462336,162.4138139103925,-73.68304140133728,-99.68,141.27,-51.800000000000004,64,32.36735486437714,37.057256141358636
A_PA1_to_C1,24,-104.00804838927863,163.43165260561454,-74.05227738223644,-98.52999999999999,142.08,-51.800000000000004,64,33.7739820360186,38.66769800827439
A_PA1_to_C1,25,-103.00947648346532,164.44471236433247,-74.41947317795703,-97.37,142.87,-51.800000000000004,64,35.177442046136434,40.27451380452995
A_PA1_to_C1,26,-102.004685778914,165.45243077134052,-74.78439012090905,-96.21000000000001,143.66,-51.800000000000004,64,36.58090205625428,41.88132960078553
A_PA1_to_C1,27,-100.99443787022501,166.4554065639786,-75.14728615286856,-95.02999999999999,144.44000000000003,-51.800000000000004,64,37.99539843306127,43.50078088946806
A_PA1_to_C1,28,-99.97865204218024,167.45352101051787,-75.50811248064949,-93.86,145.21,-51.800000000000004,64,39.396041142677085,45.1043711695587
A_PA1_to_C1,29,-98.95724657977786,168.4466515454952,-75.86681827461119,-92.66999999999999,145.97,-51.800000000000004,64,40.808025561854585,46.72094652791939
A_PA1_to_C1,30,-97.93013914227564,169.4346716568485,-76.22335155664793,-91.48,146.72,-51.800000000000004,64,42.21465273349601,48.33138839483511
A_PA1_to_C1,31,-96.89724697053715,170.41745089425962,-76.57765923268899,-90.27999999999999,147.46,-51.800000000000004,64,43.6244754173822,49.94548879103917
A_PA1_to_C1,32,-95.85848647488527,171.39485478818747,-76.9296856030413,-89.08000000000001,148.19000000000003,-51.800000000000004,64,45.029075004453176,51.55360928442621
A_PA1_to_C1,33,-94.81326018775638,172.36626166812073,-77.2791700240405,-87.87,148.91,-51.800000000000004,64,46.43708778848604,53.165637533470374
A_PA1_to_C1,34,-93.76170417127643,173.33171905220786,-77.62613400929244,-86.64999999999999,149.62,-51.800000000000004,64,47.84864720983536,54.7817263135041
A_PA1_to_C1,35,-92.7040723383632,174.2913942958,-77.97065069942045,-85.43,150.31999999999996,-51.800000000000004,64,49.25520328763671,56.39208678536444
A_PA1_to_C1,36,-91.64028159188729,175.24513757738708,-78.31266006500847,-84.20999999999998,151.01,-51.800000000000004,64,50.65680950908413,57.99678018632759
A_PA1_to_C1,37,-90.57025047081125,176.19279682622727,-78.652099442385,-82.98,151.69000000000003,-51.800000000000004,64,52.062263172496756,59.605878508328985
A_PA1_to_C1,38,-89.49389790372965,177.13421557530074,-78.9889050592017,-81.74,152.36,-51.800000000000004,64,53.47169568240988,61.21953219589959
A_PA1_to_C1,39,-88.4111426719469,178.0692323141224,-79.32301148830727,-80.5,153.02,-51.800000000000004,64,54.876402057422105,62.827774950376806
A_PA1_to_C1,40,-87.32190406766502,178.99768111829337,-79.65435128222146,-79.25,153.67,-51.800000000000004,64,56.28530233778263,64.44081929044468
A_PA1_to_C1,41,-86.22610253573342,179.91939200172868,-79.98285537263547,-77.99,154.30999999999997,-51.800000000000004,64,57.69852560393699,66.05881299979309
A_PA1_to_C1,42,-85.12365930706832,180.83419046085237,-80.30845245386091,-76.74,154.94000000000003,-51.800000000000004,64,59.0983113018208,67.66142209055262
A_PA1_to_C1,43,-84.01449627720152,181.7418966549487,-80.63107011321773,-75.47000000000001,155.55999999999997,-51.800000000000004,64,60.51156994764607,69.27945630594586
A_PA1_to_C1,44,-82.89853717976428,182.64232658248505,-80.95063473369008,-74.2,156.17,-51.800000000000004,64,61.92047022800663,70.89250064601377
A_PA1_to_C1,45,-81.77570602721802,183.53529052099293,-81.26706971245501,-72.93,156.77,-51.800000000000004,64,63.325069815077626,72.50062113940083
A_PA1_to_C1,46,-80.64582348921154,184.4204769839685,-81.58024546867003,-71.64999999999999,157.35,-51.800000000000004,64,64.73034558872493,74.10951579611582
A_PA1_to_C1,47,-79.50878396989144,185.29764221152698,-81.89006653611779,-70.37,157.93000000000004,-51.800000000000004,64,66.13562136237223,75.7184104528308
A_PA1_to_C1,48,-78.36470409990349,186.16679159789868,-82.19653532246785,-69.08,158.5,-51.800000000000004,64,67.5459404751974,77.33307920855711
A_PA1_to_C1,49,-77.21351525637408,187.02771728459427,-82.49957047786444,-67.79,159.05999999999997,-51.800000000000004,64,68.95224769625543,78.94315476531955
A_PA1_to_C1,50,-76.05515221567957,187.88020837156643,-82.79908752134475,-66.49,159.6,-51.800000000000004,64,70.35994084463687,80.55481706477481
A_PA1_to_C1,51,-74.88955223574898,188.72404937384061,-83.0949989297513,-65.19,160.14,-51.800000000000004,64,71.76763399301828,82.16647936423006
A_PA1_to_C1,52,-73.71665496632944,189.55901897357802,-83.38721635930006,-63.88999999999999,160.66,-51.800000000000004,64,73.16777684287325,83.76949735686411
A_PA1_to_C1,53,-72.53640296667295,190.38489062496797,-83.67564995326215,-62.57999999999999,161.18000000000004,-51.800000000000004,64,74.57720935278638,85.38315104443471
A_PA1_to_C1,54,-71.34874150332857,191.20143234679898,-83.96020704576208,-61.26,161.68000000000004,-51.800000000000004,64,75.98873335187389,86.99919926966145
A_PA1_to_C1,55,-70.15362113228008,192.0084093828919,-84.24079431973101,-59.94,162.18000000000004,-51.800000000000004,64,77.4002573509614,88.61524749488818
A_PA1_to_C1,56,-68.95099439080366,192.80558006060818,-84.51731481171478,-58.62,162.66,-51.800000000000004,64,78.80482134024774,90.22332723251286
A_PA1_to_C1,57,-67.7408184239931,193.59269790109772,-84.78967186808131,-57.300000000000004,163.13,-51.800000000000004,64,80.20599941601112,91.82753045118137
A_PA1_to_C1,58,-66.52304882046394,194.36950405264457,-85.05776186945316,-55.97000000000001,163.59,-51.800000000000004,64,81.61330180000682,93.43874536604206
A_PA1_to_C1,59,-65.29736445794792,195.1353362413338,-85.32131526549605,-54.63,164.04,-51.800000000000004,64,83.026843451321,95.05710359329649
A_PA1_to_C1,60,-64.06398870106675,195.89027226448488,-85.5803706287233,-53.300000000000004,164.48,-51.800000000000004,64,84.42773602393319,96.66097994054017
A_PA1_to_C1,61,-62.8228995497926,196.63404521676426,-85.83482177572114,-51.959999999999994,164.91,-51.800000000000004,64,85.8350384079289,98.27219485540087
A_PA1_to_C1,62,-61.574080991881786,197.36638378280423,-86.08456237099054,-50.61000000000001,165.33,-51.800000000000004,64,87.24886300808268,99.89087702965895
A_PA1_to_C1,63,-60.3175221924691,198.08701135089117,-86.32948341654753,-49.26,165.73,-51.800000000000004,64,88.65687579211556,101.50290527870314
A_PA1_to_C1,64,-59.0532189483899,198.7956474068054,-86.56947528206894,-47.91,166.13,-51.800000000000004,64,90.06488857614843,103.11493352774733
A_PA1_to_C1,65,-57.78117418123128,199.4920086289987,-86.80442607520538,-46.56,166.51,-51.800000000000004,64,91.46735069684902,104.72060684436899
A_PA1_to_C1,66,-56.50139772720847,200.17580744614372,-87.03422398879702,-45.199999999999996,166.89,-51.800000000000004,64,92.87944134549734,106.33730382442927
A_PA1_to_C1,67,-55.21390634241263,200.84675221234846,-87.25875552522025,-43.84,167.25,-51.800000000000004,64,94.28628177710286,107.94798985183161
A_PA1_to_C1,68,-53.9187252008448,201.50454957328992,-87.47790625334093,-42.48,167.6,-51.800000000000004,64,95.69059655663058,109.55578427019256
A_PA1_to_C1,69,-52.61588688166932,202.14890215357067,-87.69156066867265,-41.12,167.94000000000003,-51.800000000000004,64,97.09245246934059,111.16076354169141
A_PA1_to_C1,70,-51.305433226217545,202.77951170494578,-87.89960339828633,-39.75,168.27,-51.800000000000004,64,98.50163663047779,112.774132895734
A_PA1_to_C1,71,-49.98700076908163,203.3952860211952,-88.10159506690974,-38.38,168.59,-51.800000000000004,64,99.90851260226776,114.38485961295247
A_PA1_to_C1,72,-48.66072424070704,203.99600512794532,-88.29745317406535,-37.0,168.89,-51.800000000000004,64,101.32074487778054,116.00171874104785
A_PA1_to_C1,73,-47.32700018966312,204.58196768582224,-88.48730791743925,-35.63,169.19000000000003,-51.800000000000004,64,102.72320699848113,117.60739205766953
A_PA1_to_C1,74,-45.98591039331693,205.15286772437383,-88.67104090949582,-34.25,169.47,-51.800000000000004,64,104.13132631160768,119.21954227145032
A_PA1_to_C1,75,-44.63754649554768,205.70839844121866,-88.84853507484068,-32.87,169.75,-51.800000000000004,64,105.53944562473424,120.83169248523113
A_PA1_to_C1,76,-43.282011396903435,206.2482558076494,-89.01967349375998,-31.490000000000002,170.01,-51.800000000000004,64,106.9437247992576,122.4394461395639
