probe_config,condition,public_condition,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,scan_id,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm,central_focus_distance_mm,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,relative_amplitude_percent,amplitude_note,calibration_status,detection_status
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,41,-88.51030079154592,174.56242420266707,-74.62186264999998,-74.35368967034066,156.0961805520411,-51.8,73.60076077111064,32.59216482249655,65.99550188199467,65.99550127492759,32.58321343203108,1.0901605383169937,16,3.3242316739275146e-22,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,42,-86.98621380095268,174.9862308612962,-74.31302443,-72.99238922269329,156.74052477668033,-51.8,74.64491111977884,32.18026081061281,67.4694629482416,67.46901435414304,31.93422706376537,1.0934419730669074,16,2.9231345582790304e-23,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,43,-85.44602545675441,175.40622010900307,-74.01246354,-71.62101700127599,157.36313292129682,-51.8,75.71723333903968,31.781714720465427,68.93986174051165,68.93828016120847,31.31474018626553,1.093634928612465,16,2.45296713259398e-24,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,44,-83.90998951795798,175.81776146005106,-73.71616815999998,-70.24867532346667,157.9836085780031,-51.8,76.80127930931285,31.384820237787988,70.41127945537622,70.40773937052744,30.678766928919536,1.0981265128596611,16,1.949958106135084e-25,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,45,-82.37809315670718,176.22090963117816,-73.42416124999998,-68.87047266038448,158.59095760479434,-51.8,77.8961873444112,30.997989768552298,71.88109655637449,71.87459156538587,30.030968850581083,1.097443246913528,16,1.475540970562944e-26,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,46,-80.84389597382534,176.61589812609037,-73.14719076999998,-67.48690089552612,159.1859027049353,-51.8,79.00794353297586,30.625424269289212,73.34944020530261,73.33899926797937,29.387860209297635,1.1004831326520232,16,1.062819246208682e-27,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,47,-79.30988116704236,177.0045416762596,-72.86560265999998,-66.09602538619683,159.76365099342593,-51.8,80.13039811334798,30.2591128680833,74.81517158228293,74.79971066035903,28.738197350046363,1.1075624740129566,16,7.305199710562942e-29,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,48,-77.76961412683336,177.38697086622912,-72.59007124,-64.7025353128103,160.33498587487588,-51.8,81.26979024831587,29.895581664210876,76.28088472292444,76.25959853941825,28.093636959497022,1.1104955181575225,16,4.768050308030853e-30,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,49,-76.23332909894982,177.76107722107247,-72.31877421999998,-63.3035440285758,160.89279168331342,-51.8,82.41730140648721,29.54214776282818,77.74483757777747,77.71632858980213,27.436906561230018,1.1100399795315958,16,2.9677195567288814e-31,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,50,-74.69426407127305,178.1270569580981,-72.06232435999999,-61.89954627987828,161.43774762125824,-51.8,83.57918271332925,29.20273339898191,79.20711667751246,79.17027198178101,26.787083031918506,1.113290983084065,16,1.7610046253274786e-32,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,51,-73.15543888877625,178.48664469416738,-71.80118966999999,-60.49110557088349,161.97124788981688,-51.8,84.74946795122912,28.86505254121588,80.66814358407156,80.62166230056648,26.12699534791225,1.118349765159813,16,9.959138541203178e-34,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,52,-71.62397138824623,178.8361781765444,-71.55317105,-59.07841652503139,162.49330308180677,-51.8,85.92464030467053,28.542394428615953,82.12783587173612,82.06954462277943,25.448647447293297,1.12254175995173,16,5.376932326129626e-35,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,53,-70.08240641964987,179.18127021616235,-71.30209812999999,-57.66068402001455,163.00157462923724,-51.8,87.11566378169059,28.22080027446626,83.58560984799746,83.51503334345239,24.78665128182091,1.1244796162387107,16,2.7686161105698205e-36,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,54,-68.53755751557946,179.51825086947133,-71.06566992,-56.23846720438927,163.49714668118867,-51.8,88.31915917560072,27.912531941065716,85.04170947062988,84.9577321231135,24.13415898643213,1.127789391103896,16,1.3605331721116607e-37,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,55,-66.99300425214086,179.8487877154106,-70.82448234,-54.81155196257941,163.97903105734272,-51.8,89.52921871134949,27.607388224425065,86.49585335705859,86.39703950403636,23.47408290013969,1.1327458309669698,16,6.389452530793947e-39,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,56,-65.45537757060218,180.16943092711168,-70.59634426999999,-53.38194375175403,164.4528907888934,-51.8,90.74233073647127,27.314464959260945,87.94958133777232,87.83324734751052,22.792350643980825,1.134344163281888,16,2.8645652129502906e-40,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,57,-63.92128714133149,180.4819945769765,-70.37237624,-51.94808061133158,164.91370825425238,-51.8,91.9596060554593,27.03076715220024,89.40148316412534,89.26524913933284,22.097159137954968,1.138883225011459,16,1.2295488014538812e-41,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,58,-62.38019017079899,180.78823280173663,-70.15401181,-50.50956093843202,165.3597597219461,-51.8,93.18939043186077,26.754800867653007,90.85105191026601,90.69427792651746,21.41986088772265,1.1414830568900838,16,5.046192380870734e-43,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
