model_x,model_y,model_z,edge_label,extraction
98.6894,181.22472366666665,-56.37408333333332,Upper groove edge,x-binning quantile 0.85
100.05,180.44005633333333,-55.03736999999998,Upper groove edge,x-binning quantile 0.85
101.4187,179.609132,-54.980476666666654,Upper groove edge,x-binning quantile 0.85
102.8076,178.80007600000002,-55.21443666666666,Upper groove edge,x-binning quantile 0.85
104.18015,178.0726386666667,-55.58751333333333,Upper groove edge,x-binning quantile 0.85
105.5735,177.4147346666667,-55.9827,Upper groove edge,x-binning quantile 0.85
106.98425,176.80215200000004,-56.52952666666666,Upper groove edge,x-binning quantile 0.85
108.3471,176.26633800000002,-56.539186666666666,Upper groove edge,x-binning quantile 0.85
109.7238,175.76413200000002,-56.54267333333333,Upper groove edge,x-binning quantile 0.85
111.3828,175.32018266666668,-56.5446,Upper groove edge,x-binning quantile 0.85
