probe_config,condition,public_condition,scan_id,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm,source_to_focus_mm,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,detection_status,minus_6db_width_scan_id,v62c_layer,physics_chain,public_label,confidential_name_displayed,hardware_status,display_note
1D16,PA2_TO_C2,PA2 → C2,1,EDM_11,C2,-122.10400000000001,161.2415,-51.36,3.0,-100.07751745712665,127.90456797971204,-92.79835191999999,-122.74,162.07,-51.8,57.564346427129465,57.98042532006059,1.1333614824935423,1.0503900327080375,57.554762273523124,0.1829342502001658,16,1.0423118427298366,0.7749186392205631,0.9986488056894631,0.31550709885846656,0.46824181385352975,0.585898710076073,1.0957180982304553,57.95059248793535,1.8907798025681466,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,86.02435411566657,STRONG,17.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D32,PA1_TO_C1,PA1 → C1,0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,4.915821014845835,4.763938398933852,58.16985941300453,2.225007314391579,32,1.0280202406246728,-0.5759963036720268,0.955776065577111,0.3438949993212596,0.4368247172345893,0.6373449098711103,1.3471613951056112,70.05242052375164,1.9230761550185822,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,35.80315492812827,MEDIUM,9.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D32,PA1_TO_C1,PA1 → C1,49,EDM_02,C1,-66.245,159.7865,-51.63,3.0,-76.23332909894982,177.76107722107247,-72.31877421999998,-63.3035440285758,160.89279168331342,-51.8,29.169804990629626,29.54214776282818,3.1472121822965113,3.1009499756350203,29.004510553359978,2.224485494491333,32,2.0569215330467285,0.5646950796028825,0.9810987572510873,0.61168682482273,0.9034684349537512,1.135028891688415,2.517674943891651,135.0612701565481,1.8640983762209853,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,66.91158639366505,STRONG,21.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D32,PA1_TO_C1,PA1 → C1,95,EDM_03,C1,0.0,173.11,-51.63,3.0,-5.373589645022878,186.76903409992192,-65.74641227,4.46832107978627,172.8396788340046,-51.8,20.36462063463331,22.031626359487372,4.479717268405168,3.978297561994094,19.97225380623741,2.4072542881538093,32,2.946286163463333,-0.9884806893124908,0.9681801294764141,0.8646289393154003,1.2728383962344232,1.602988708431823,3.5534332417825643,181.10328919416364,1.9621030946449975,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,94.43866291338348,STRONG,20.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D32,PA1_TO_C1,PA1 → C1,140,EDM_04,C1,67.37,159.429,-51.63,8.0,63.760866696173906,180.03991850661208,-69.9021585,70.15830933496864,158.02353773571153,-51.8,27.779625287971633,29.211922855660678,3.1271221792267867,2.7075889274381364,27.647360513078418,1.5603086085996625,32,2.1598563471617287,0.9998750557416156,0.9850154054186563,1.0530547029353183,0.9536308542683606,1.9540397734930182,3.7626890641618616,136.58806439120863,2.754771495542215,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,100.0,STRONG,22.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D32,PA1_TO_C1,PA1 → C1,160,EDM_05,C1,95.60149999999999,144.254,-51.63,3.0,94.31223338190297,172.17488171092018,-75.21046543999998,96.48753413538964,143.47098968365705,-51.8,36.56878715919862,37.10384404611377,1.1945968544137189,1.0602305722226384,36.55341441546186,0.90787649850048,32,1.640743504530131,-0.7783453190340295,0.9977054851069816,0.49618282740853725,0.7361984260478588,0.9213700496160621,2.046063737918835,107.53602766983141,1.902677439602733,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,54.377699114359196,MEDIUM,23.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D32,PA2_TO_C2,PA2 → C2,172,EDM_06,C2,94.9125,178.63,-51.36,4.0,74.69654769593639,139.3256928081772,-97.01785697,95.43,179.51,-51.8,63.5464648464596,63.947706588204085,1.1116682283847115,1.0334392848740028,63.53806101642388,0.2217264168521389,32,0.9441909970125241,-0.6806010171039806,0.9978494331921215,0.3297561579179179,0.4237304841217898,0.612339636682435,1.2975349647860355,62.39473177191319,2.0795585267186243,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,85.8944101355418,STRONG,25.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D32,PA2_TO_C2,PA2 → C2,145,EDM_07,C2,61.687000000000005,192.4055,-51.36,6.0,47.598933361388006,151.04939742262195,-96.73057258,61.85,193.66,-51.8,62.98642471391462,63.54142510765764,1.3393801738117581,1.213589072010479,62.97473223290379,0.2818733538565858,32,0.9525862163556827,-0.9999039907477321,0.9970134265676914,0.40711675278147913,0.4270475782876317,0.7559580954856113,1.510616305226986,62.79368133843049,2.4056820256888978,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,100.0,STRONG,25.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D32,PA2_TO_C2,PA2 → C2,117,EDM_08,C2,24.747500000000002,200.793,-51.36,4.0,19.045432453321975,158.07682644507008,-95.87908322999999,24.94,201.76,-51.8,61.96074425893737,62.337237320800035,1.0796968324487979,1.0088340831708646,61.952530883847444,0.2974073162938921,32,0.9683550563766099,0.8590253697494931,0.9979534521202563,0.33823064498620015,0.43463170349569047,0.6280800677444173,1.3308952954149924,64.00668639623301,2.079306663644628,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,88.10280220131818,STRONG,25.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D32,PA2_TO_C2,PA2 → C2,74,EDM_09,C2,-33.2785,199.578,-51.36,4.0,-25.38325947836276,158.00749812419178,-95.07276046,-32.97,200.61,-51.8,60.83787369833381,61.19692472379177,1.1635275028979855,1.1034454771896978,60.827866017256326,0.2757563624301511,32,0.9862277616326891,0.4468376798476278,0.9975621453098996,0.3443382185804699,0.4424328153555494,0.6394113015516197,1.354873218713257,65.19935467359836,2.078046976839014,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,89.69009628885696,STRONG,25.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D32,PA2_TO_C2,PA2 → C2,20,EDM_10,C2,-100.4165,175.5925,-51.36,3.0,-81.00797007779988,139.09895099755246,-94.14684997,-101.35,176.24,-51.8,59.49104708181111,59.88748955115404,1.2183096896930596,1.1481306120280186,59.47996703923087,0.3569490767296273,32,1.008555117839647,0.8395677717373885,0.9973563824204545,0.3048938643643669,0.45233149038388504,0.5661596616392591,1.2572157655681353,66.62493335259721,1.8870049128824018,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,83.2253538650389,STRONG,25.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D32,PA2_TO_C2,PA2 → C2,1,EDM_11,C2,-122.10400000000001,161.2415,-51.36,3.0,-100.07751745712665,127.90456797971204,-92.79835192,-122.74,162.07,-51.8,57.56434642712947,57.980425320060604,1.1333614824935423,1.0503900327080424,57.554762273523124,0.4527382305324785,32,1.0423118427298366,0.7749186392204913,0.9977764564293587,0.31523149407860923,0.4677217566009808,0.5853656731987259,1.2999029776844002,68.81632857942321,1.8889455519036285,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,86.05116820111883,STRONG,13.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
