probe_config,condition,public_condition,scan_id,pa_s_mm,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm_raw,source_to_focus_mm_raw,ut_path_mm_display,geometry_center_mm_display,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,edm_detectability_db,detection_status,minus_6db_width_scan_id,minus_6db_s_min_mm,minus_6db_s_max_mm,minus_6db_length_mm,v62e_layer,physics_chain,public_label,confidential_name_displayed,display_note,hardware_status
1D16,PA2_TO_C2,PA2 → C2,1,1.1855061690128526,EDM_11,C2,-122.10400000000001,161.2415,-51.36,3.0,-100.07751745712665,127.90456797971204,-92.79835191999999,-122.74,162.07,-51.8,57.564346427129465,57.98042532006059,45.02692699410887,45.19598000877487,1.1333614824935423,1.0503900327080375,57.554762273523124,0.1829342502001658,16,1.389749123639782,0.7749186392205631,0.9986488056894631,0.4206761318112888,0.6243449293319533,0.7812044797877509,1.4609804327447946,82.7865606970505,1.7647555598922786,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,86.02414108959252,-1.3075930982121655,STRONG,17.0,0.0,19.90111637719857,19.90111637719857,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,0,0.0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,56.08617229773226,55.68335208627741,4.915821014845835,4.763938398933852,58.16985941300453,2.225007314391579,32,1.3706936541662302,-0.5759963036720268,0.955776065577111,0.4585266657616795,0.5831568414065132,0.8499827632454987,1.7970829568930067,100.07488646250235,1.7957381920851503,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,35.815396276966936,-8.918604785152311,MEDIUM,9.0,0.0,15.17794705718902,15.17794705718902,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,49,80.97110238030359,EDM_02,C1,-66.245,159.7865,-51.63,3.0,-76.23332909894982,177.76107722107247,-72.31877421999998,-63.3035440285758,160.89279168331342,-51.8,29.169804990629626,29.54214776282818,47.72934213252212,47.8359229215582,3.1472121822965113,3.1009499756350203,29.004510553359978,2.224485494491333,32,2.7425620440623044,0.5646950796028825,0.9810987572510873,0.8155824330969732,1.20525870833034,1.5135102083101868,3.357633782250625,192.94467165221158,1.7402054969949408,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,66.91676864608822,-3.4893007782980408,STRONG,21.0,63.19765757409167,96.9082126479158,33.71055507382413,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,95,152.919166023382,EDM_03,C1,0.0,173.11,-51.63,3.0,-5.373589645022878,186.76903409992192,-65.74641227,4.46832107978627,172.8396788340046,-51.8,20.36462063463331,22.031626359487372,45.20891319891102,45.68608315828345,4.479717268405168,3.978297561994094,19.97225380623741,2.4072542881538093,32,3.9283815512844438,-0.9884806893124908,0.9681801294764141,1.152838585753867,1.6985885352942092,2.1377141736202074,4.739684229934869,258.7189845630909,1.8319816143136785,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,94.46067487963766,-0.49497911813459644,STRONG,20.0,135.95878492192634,166.75624358751023,30.79745866558389,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,140,222.70861144600116,EDM_04,C1,67.37,159.429,-51.63,8.0,63.760866696173906,180.03991850661208,-69.9021585,70.15830933496864,158.02353773571153,-51.8,27.779625287971633,29.211922855660678,47.33141189008353,47.74139810788326,3.1271221792267867,2.7075889274381364,27.647360513078418,1.5603086085996625,32,2.879808462882305,0.9998750557416156,0.9850154054186563,1.404072937247091,1.2720180677659272,2.60562151824121,5.0176268970915165,195.1258062731552,2.5714829795846565,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,100.0,0.0,STRONG,22.0,203.87123900314015,238.6093048137575,34.73806581061734,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D32,PA1_TO_C1,PA1 → C1,160,254.71628884401153,EDM_05,C1,95.60149999999999,144.254,-51.63,3.0,94.31223338190297,172.17488171092018,-75.21046543999998,96.48753413538964,143.47098968365705,-51.8,36.56878715919862,37.10384404611377,49.84725448767165,50.00041117404931,1.1945968544137189,1.0602305722226384,36.55341441546186,0.90787649850048,32,2.187658006040175,-0.7783453190340295,0.9977054851069816,0.661577103211383,0.9816582919909872,1.2285095798633279,2.728157726312413,153.62289667118776,1.7758796282508083,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,54.37147444928195,-5.29257779223562,MEDIUM,23.0,235.40982155440605,272.67215630886335,37.2623347544573,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D32,PA2_TO_C2,PA2 → C2,172,186.0036520622148,EDM_06,C2,94.9125,178.63,-51.36,4.0,74.69654769593639,139.3256928081772,-97.01785697,95.43,179.51,-51.8,63.5464648464596,63.947706588204085,47.45746401499097,47.62048868940763,1.1116682283847115,1.0334392848740028,63.53806101642388,0.2217264168521389,32,1.258921329350032,-0.6806010171039806,0.9978494331921215,0.43967487722389054,0.5650070030624716,0.8164621611494983,1.7300868393640674,89.13533110273313,1.940966413609943,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,85.8938714102831,-1.3207564457610994,STRONG,25.0,171.59940832889237,199.60989694252424,28.01048861363188,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D32,PA2_TO_C2,PA2 → C2,145,156.44724828385645,EDM_07,C2,61.687000000000005,192.4055,-51.36,6.0,47.598933361388006,151.04939742262195,-96.73057258,61.85,193.66,-51.8,62.98642471391462,63.54142510765764,47.22991949314871,47.45541636717207,1.3393801738117581,1.213589072010479,62.97473223290379,0.2818733538565858,32,1.2701149551409103,-0.9999039907477321,0.9970134265676914,0.5428223370419721,0.5694426694443301,1.0079608158391722,2.0142145312092006,89.7052590549007,2.245369505010266,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,100.0,0.0,STRONG,25.0,143.70649958919824,170.51095708830846,26.804457499110214,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D32,PA2_TO_C2,PA2 → C2,117,126.98869455077842,EDM_08,C2,24.747500000000002,200.793,-51.36,4.0,19.045432453321975,158.07682644507008,-95.87908322999999,24.94,201.76,-51.8,61.96074425893737,62.337237320800035,46.813185128719894,46.96615440495581,1.0796968324487979,1.0088340831708646,61.952530883847444,0.2974073162938921,32,1.2911400751688131,0.8590253697494931,0.9979534521202563,0.4509741933149335,0.5795412179848968,0.8374491004320248,1.7745662861452622,91.43812342319,1.9407291179110167,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,88.10214893444991,-1.100269968196818,STRONG,25.0,113.53123577428069,139.50276557565664,25.97152980137595,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D32,PA2_TO_C2,PA2 → C2,74,82.38248106569033,EDM_09,C2,-33.2785,199.578,-51.36,4.0,-25.38325947836276,158.00749812419178,-95.07276046,-32.97,200.61,-51.8,60.83787369833381,61.19692472379177,46.356962386892064,46.50284495700992,1.1635275028979855,1.1034454771896978,60.827866017256326,0.2757563624301511,32,1.3149703488435855,0.4468376798476278,0.9975621453098996,0.45911762477396,0.5899497323682001,0.8525590544140536,1.806545090978403,93.14193524799767,1.9395614726796646,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,89.68980528076487,-0.9451383770063333,STRONG,25.0,68.63261986334881,94.91113381739228,26.278513954043476,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
