probe_config,condition,public_condition,scan_id,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm,source_to_focus_mm,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent
1D16,PA1_TO_C1,PA1 → C1,0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,1.0280202406246728,-0.5759963036720268,0.972933422169452,0.3500683377696492,0.44684268255087495,0.6492289944032088,1.1569120117789864,58.99151202000138,1.9611499555846768,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,36.278181819081446
1D16,PA1_TO_C1,PA1 → C1,32,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-102.26165901669007,170.40530053530316,-77.63168039999998,-86.34949863549022,149.79241881570235,-51.8,65.04318574105754,36.679196461632344,52.682412681602074,52.66113994873202,38.176175170461654,1.0746003527314905,16,0.9224640416425036,-0.3911074547780881,0.036022144575794265,0.011630196575906217,0.020574605017934264,0.040927403970721345,0.058505764451649456,91.60506020121437,0.06386739370416773,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,1.8346103581183706
1D16,PA1_TO_C1,PA1 → C1,33,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-100.73821588591268,170.89581172542313,-77.2748287,-85.0417941166962,150.53955906514722,-51.8,65.90080896065626,36.19007565646233,54.166087224259066,54.1487348273482,37.561032177862764,1.074027973186347,16,0.9104592332974375,0.9963318392749264,0.029778553595878172,0.00948925567646346,0.01930370505886899,0.04003018499657976,0.05505851658552977,92.84313279405973,0.05930273454651513,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,1.726512349290348
1D16,PA1_TO_C1,PA1 → C1,34,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-99.20933140422562,171.38032114943243,-76.92465684999999,-83.72823726153902,151.27634037573452,-51.8,66.7874962162814,35.70830016444626,55.64894795983185,55.63509204403876,36.950049852349814,1.0753814854398662,16,0.8983717521869499,-0.7551461206095239,0.024490869885247332,0.007700666991987287,0.018081754644009136,0.03913257404206015,0.05193199654244526,94.09577001779147,0.055190575020137515,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,1.6284716500589438
1D16,PA1_TO_C1,PA1 → C1,35,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-97.68491183004613,171.85623390918215,-76.57886669999998,-82.40714701892483,151.9995254010648,-51.8,67.69499035940882,35.237639043168656,57.130333362264224,57.11987257808032,36.33086671721885,1.0792673398725103,16,0.8863285108904768,0.2548117271756854,0.020040090282214738,0.006216736182281136,0.016912064162165067,0.03824082340447462,0.04909569899913666,95.35258579281538,0.05148858690189388,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,1.5395316814861046
1D16,PA1_TO_C1,PA1 → C1,36,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-96.1649540235696,172.32360542639685,-76.23748559,-81.0798895086162,152.71134913251072,-51.8,68.62197988453805,34.77629178504863,58.61069142844894,58.603383496448764,35.7018146043321,1.0815939223352515,16,0.874355419370802,0.1503805522127494,0.016314633196130596,0.004992675782529251,0.015794918084745486,0.03735637122388492,0.04651517207292773,96.61754682667359,0.04814360703690119,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,1.4586121093277271
1D16,PA1_TO_C1,PA1 → C1,37,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-94.63941945796927,172.78497336012433,-75.90269618,-79.74659150288586,153.41177241849934,-51.8,69.57463079411168,34.32283791252815,60.0899793256518,60.085247212160745,35.076948521649996,1.0817109440276609,16,0.86238330430462,-0.30502933831550183,0.013214890956667478,0.003988705465232649,0.014729062106680678,0.036476696971351745,0.04415557163461206,97.89400307057853,0.045105491909220696,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,1.38462029936288
1D16,PA1_TO_C1,PA1 → C1,38,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-93.10822799735561,173.24029073689803,-75.57442215999998,-78.40622889335077,154.0985821494091,-51.8,70.55202808937389,33.87885674494351,61.56771671793822,61.56499463587317,34.45780177272937,1.0836026285013514,16,0.8504362188425428,0.226316781122412,0.01065113515724683,0.003170338888328453,0.013714810681906131,0.03560339686292307,0.04199083714652613,99.1769003687377,0.042339332032363425,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,1.3167390512219275
1D16,PA1_TO_C1,PA1 → C1,39,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-91.5813825609665,173.6870967325329,-75.2504995,-77.06195424658135,154.777735059723,-51.8,71.54569039303303,33.441047894005976,63.04518460035757,63.044005642575385,33.826604416563335,1.0860743615662738,16,0.8386249356235533,0.011577852800341567,0.008540710744923824,0.002506858549524396,0.01275250787109944,0.03474116226453279,0.04000042294812531,100.47532035030073,0.0398111922496653,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,1.254324098788483
1D16,PA1_TO_C1,PA1 → C1,40,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-90.0487675183836,174.1278245157779,-74.93300594,-75.7105597045925,155.44256140405722,-51.8,72.5622013445839,33.013015988936324,64.5208773994928,64.52060096742179,33.20188420518725,1.086360322089993,16,0.8268767883029289,-0.456167341034696,0.006815099624549924,0.001972336691329318,0.011840928112652686,0.033887654089112956,0.03816073511447597,101.77803812672066,0.03749407614534997,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,1.1966355891697993
1D16,PA1_TO_C1,PA1 → C1,41,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-88.51030079154592,174.56242420266707,-74.62186264999998,-74.35368967034066,156.0961805520411,-51.8,73.60076077111064,32.59216482249655,65.99550188199467,65.99550127492759,32.58321343203108,1.0901605383169937,16,0.8152089648447066,0.9128615082186765,0.0054111782376826765,0.0015439343534060246,0.010978882901106558,0.03304373304993764,0.036453240243560184,103.09226215255208,0.03535982185512434,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,1.1430923561913646
