condition,scan_id,focus_x,focus_y,focus_z,max_response_raw,mean_response_raw,n_elements,sigma_mm,physics_level
A+B_2D8x8,70,-39.02,183.96499999999997,-51.79999999999998,1.1108925074956862e-13,4.5558304896809584e-17,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,71,-37.67,184.24999999999997,-51.79999999999998,1.5260025439138895e-13,6.380052750535868e-17,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,72,-36.315,184.52000000000004,-51.79999999999998,2.0185079699577107e-13,8.268717410196856e-17,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,73,-34.965,184.78999999999996,-51.79999999999998,3.753404685364239e-13,1.2550072483679682e-16,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,74,-33.610000000000014,185.04000000000005,-51.79999999999998,8.022695007409958e-13,2.3475555590257343e-16,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,75,-32.25,185.28500000000003,-51.79999999999998,1.4073881377553394e-12,3.9982504644230465e-16,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,76,-30.895000000000007,185.52000000000004,-51.79999999999998,1.7454174686241843e-12,6.307502254724523e-16,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,77,-29.52999999999999,185.745,-51.79999999999998,2.066439547561776e-12,1.035861619140034e-15,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,78,-28.165000000000003,185.95499999999998,-51.79999999999998,4.033084925763986e-12,1.8438383588253904e-15,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,79,-26.804999999999986,186.16000000000003,-51.79999999999998,8.637034676418764e-12,3.2031784961596957e-15,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,80,-25.44,186.35000000000008,-51.79999999999998,1.4424966933498658e-11,4.955485837527143e-15,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,81,-24.070000000000004,186.54,-51.79999999999998,2.1218777615031404e-11,7.127135811562855e-15,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,82,-22.705,186.70999999999995,-51.79999999999998,3.192977583301681e-11,1.0700354396845486e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,83,-21.330000000000005,186.87499999999994,-51.79999999999998,5.107629023955816e-11,1.6213441297515744e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,84,-19.964999999999996,187.03000000000006,-51.79999999999998,7.76824524762623e-11,2.3754523205847835e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,85,-18.590000000000003,187.17000000000002,-51.79999999999998,1.0665430944091981e-10,3.4312676877671224e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,86,-17.215,187.30499999999995,-51.79999999999998,1.3279119410437832e-10,4.934159993410199e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,87,-15.845,187.425,-51.79999999999998,1.6634278762533934e-10,6.950528551804841e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,88,-14.470000000000004,187.53500000000005,-51.79999999999998,2.2229732272606488e-10,9.574514900398798e-14,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,89,-13.095000000000004,187.63499999999993,-51.79999999999998,2.993805474090272e-10,1.3078332927616834e-13,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,90,-11.714999999999998,187.735,-51.79999999999998,3.775344866310422e-10,1.8403850443513455e-13,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,91,-10.339999999999998,187.81500000000003,-51.79999999999998,4.941732136606484e-10,2.759882013268233e-13,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,92,-8.96,187.88500000000008,-51.79999999999998,9.221970455004524e-10,4.4630134240314003e-13,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,93,-7.584999999999997,187.94499999999996,-51.79999999999998,1.923652293596323e-09,7.768972051715004e-13,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,94,-6.204999999999999,187.995,-51.79999999999998,3.2355628976263867e-09,1.3509689976741403e-12,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,95,-4.825000000000002,188.03499999999997,-51.79999999999998,6.035315640289759e-09,2.2373835374184867e-12,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,96,-3.450000000000001,188.065,-51.79999999999998,9.24423029259073e-09,3.620650823982798e-12,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,97,-2.0700000000000003,188.08999999999997,-51.79999999999998,1.3536643594846616e-08,5.948889851070819e-12,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,98,-0.69,188.10000000000005,-51.79999999999998,2.659381956713556e-08,9.931672802994637e-12,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,99,0.69,188.10000000000005,-51.79999999999998,5.052164711863084e-08,1.6231877414363943e-11,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,100,2.0700000000000003,188.08999999999997,-51.79999999999998,7.159374740136836e-08,2.5472967932783915e-11,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,101,3.450000000000001,188.065,-51.79999999999998,7.930814073042129e-08,3.951010080391204e-11,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,102,4.825000000000002,188.03499999999997,-51.79999999999998,1.3280215951411003e-07,5.876658078726425e-11,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,103,6.204999999999999,187.995,-51.79999999999998,1.9361340010921547e-07,9.034083066959783e-11,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,104,7.584999999999997,187.94499999999996,-51.79999999999998,2.853047059473501e-07,1.3742979844421846e-10,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,105,8.96,187.88500000000008,-51.79999999999998,5.630442034860898e-07,2.1947244007789597e-10,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,106,10.339999999999998,187.81500000000003,-51.79999999999998,1.0084980430876696e-06,3.559610090862125e-10,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,107,11.714999999999998,187.735,-51.79999999999998,1.2237320377625972e-06,6.121990393707414e-10,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,108,13.095000000000004,187.63499999999993,-51.79999999999998,2.4194447458838455e-06,1.036746658588142e-09,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,109,14.470000000000004,187.53500000000005,-51.79999999999998,4.297928364538119e-06,1.6858573165632892e-09,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,110,15.845,187.425,-51.79999999999998,5.390456966082931e-06,2.4083891962605625e-09,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,111,17.215,187.30499999999995,-51.79999999999998,6.900040705446419e-06,3.3315799262706005e-09,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,112,18.590000000000003,187.17000000000002,-51.79999999999998,1.053338735569544e-05,4.5529424798539055e-09,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
A+B_2D8x8,113,19.964999999999996,187.03000000000006,-51.79999999999998,1.273492451561936e-05,5.5855413231688076e-09,64,18.0,V4.1 Green coherent sum multiplied by Gaussian focal envelope
