label,x_mm,y_mm,z_mm,amplitude_percent,frequency_hz,velocity_m_per_s,wavelength_mm,green_sigma_mm,spot_sigma_mm,physics_level
green_gauss_edm_spot_response,158.52268907563024,-228.0,-51.8,2.1733749753645313e-100,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,159.87731092436974,-228.0,-51.8,2.408394777543537e-101,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,161.23193277310924,-228.0,-51.8,2.4799531148347096e-102,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,162.58655462184873,-228.0,-51.8,2.3729142404528253e-103,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,163.94117647058823,-228.0,-51.8,2.1098102306343517e-104,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,165.29579831932773,-228.0,-51.8,1.7431209561353136e-105,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,166.65042016806723,-228.0,-51.8,1.3382413137639275e-106,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,168.00504201680673,-228.0,-51.8,9.54693841639038e-108,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,169.35966386554622,-228.0,-51.8,6.328730291665656e-109,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,170.71428571428572,-228.0,-51.8,3.89844878998514e-110,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,172.06890756302522,-228.0,-51.8,2.2314638640515328e-111,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,173.42352941176472,-228.0,-51.8,1.1868905223033444e-112,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,174.77815126050422,-228.0,-51.8,5.8661645935825575e-114,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,176.13277310924371,-228.0,-51.8,2.6941427648982014e-115,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,177.4873949579832,-228.0,-51.8,1.1497667517913374e-116,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,178.84201680672268,-228.0,-51.8,4.5595466657714725e-118,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,180.19663865546218,-228.0,-51.8,1.6801821362527932e-119,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,181.55126050420168,-228.0,-51.8,5.7532578653421984e-121,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,182.90588235294118,-228.0,-51.8,1.8306026877142544e-122,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,184.26050420168067,-228.0,-51.8,5.412490291442882e-124,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,185.61512605042017,-228.0,-51.8,1.487041003725857e-125,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,186.96974789915967,-228.0,-51.8,3.796396255960602e-127,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,188.32436974789914,-228.0,-51.8,9.006227388452468e-129,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,189.67899159663864,-228.0,-51.8,1.9853498987990044e-130,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,191.03361344537814,-228.0,-51.8,4.066810978019805e-132,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,192.38823529411764,-228.0,-51.8,7.740939893638197e-134,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,193.74285714285713,-228.0,-51.8,1.3691662406002917e-135,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,195.09747899159663,-228.0,-51.8,2.2503053261117066e-137,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_edm_spot_response,196.45210084033613,-228.0,-51.8,3.436762277607488e-139,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
