path_name,scan_id,probe_x,probe_y,probe_z,focus_x,focus_y,focus_z,n_elements,scan_s_mm,scan_pixel
PA2_TO_C2,15,-96.75153606554488,146.5182102967413,-79.56910911524014,-107.14999999999999,172.77,-51.800000000000004,64,20.2634633707822,27.184724301712286
PA2_TO_C2,16,-95.76441098545335,146.6935506411538,-79.98297329248382,-106.0,173.48,-51.800000000000004,64,21.61498103622352,28.997871168643844
PA2_TO_C2,17,-94.7755246978455,146.8675188399196,-80.39319692783319,-104.84000000000002,174.18000000000004,-51.800000000000004,64,22.969824200578724,30.81547940377714
PA2_TO_C2,18,-93.78488196301028,147.04010262552612,-80.79975203414823,-103.68000000000004,174.88,-51.800000000000004,64,24.324667364933884,32.63308763891038
PA2_TO_C2,19,-92.79243553795601,147.21124955115144,-81.20249796185014,-102.52,175.55999999999997,-51.800000000000004,64,25.669286270051636,34.43697938029957
PA2_TO_C2,20,-91.79822993559468,147.38097891626882,-81.6014867311795,-101.35000000000001,176.24,-51.800000000000004,64,27.022541604421324,36.2524574405657
PA2_TO_C2,21,-90.80229103355435,147.54929578769315,-81.99673259850911,-100.16999999999999,176.91000000000003,-51.800000000000004,64,28.3794867027949,38.07288555380889
PA2_TO_C2,22,-89.80462601702506,147.71619055711744,-82.38820952039464,-98.99,177.56999999999996,-51.800000000000004,64,29.73152220528731,39.88672713206444
PA2_TO_C2,23,-88.80524149658001,147.88165129826228,-82.77589017906962,-97.81,178.22,-51.800000000000004,64,31.078704449825896,41.69405775624341
PA2_TO_C2,24,-87.80414478986354,148.0456683441914,-83.15974727592672,-96.62,178.87,-51.800000000000004,64,32.43465430140596,43.513150682643236
PA2_TO_C2,25,-86.8013441490417,148.2082311006223,-83.53975553399744,-95.43,179.51,-51.800000000000004,64,33.78583896680147,45.325850808843846
PA2_TO_C2,26,-85.79684713155581,148.36932931117394,-83.91588687010773,-94.24,180.14,-51.800000000000004,64,35.13231585111847,47.132235147444355
PA2_TO_C2,27,-84.79066219213736,148.52895259434032,-84.28811479164705,-93.03999999999999,180.76,-51.800000000000004,64,36.48301937151072,48.94428978703572
PA2_TO_C2,28,-83.78279833852454,148.68709051038687,-84.65641348019483,-91.83000000000001,181.38,-51.800000000000004,64,37.84261489959985,50.76827362023556
PA2_TO_C2,29,-82.77326448436182,148.84373269838642,-85.0207559726652,-90.63,181.98,-51.800000000000004,64,39.18425568609974,52.568170026173796
PA2_TO_C2,30,-81.76207001190437,148.99886944655137,-85.38111544941161,-89.40999999999998,182.57999999999998,-51.800000000000004,64,40.54381443804834,54.39210452184317
PA2_TO_C2,31,-80.74922459345134,149.15248953395547,-85.73746566339398,-88.20000000000002,183.17000000000002,-51.800000000000004,64,41.88999421801829,56.198090276074595
PA2_TO_C2,32,-79.7347381671976,149.3045824755824,-86.08977990629651,-86.98,183.75,-51.800000000000004,64,43.240845801279754,58.01034355141767
PA2_TO_C2,33,-78.71862135234821,149.4551382571482,-86.4380323272578,-85.76,184.32999999999998,-51.800000000000004,64,44.591697384541206,59.82259682676072
PA2_TO_C2,34,-77.70088469592275,149.60414667348581,-86.78219602640095,-84.52999999999999,184.89,-51.800000000000004,64,45.943178054029325,61.635694061269156
PA2_TO_C2,35,-76.68153940290324,149.75159744535128,-87.12224516612059,-83.29999999999997,185.45000000000002,-51.800000000000004,64,47.29465872351745,63.448791295777596
PA2_TO_C2,36,-75.66059697847993,149.8974803307656,-87.45815384885604,-82.06,186.0,-51.800000000000004,64,48.6511615801307,65.2686261135851
PA2_TO_C2,37,-74.63806924818577,150.04178512486584,-87.7898962109968,-80.81999999999998,186.54,-51.800000000000004,64,50.00364078514645,67.08306294698279
PA2_TO_C2,38,-73.61396815521525,150.18450169084593,-88.11744574553933,-79.58,187.07999999999998,-51.800000000000004,64,51.35611999016217,68.89749978038044
PA2_TO_C2,39,-72.58830630330328,150.32561996117698,-88.44077702518774,-78.34000000000002,187.59999999999997,-51.800000000000004,64,52.700738895279876,70.70139152176957
PA2_TO_C2,40,-71.56109641508871,150.46512977948345,-88.7598640362138,-77.09000000000002,188.12,-51.800000000000004,64,54.054585267657494,72.51766249709682
PA2_TO_C2,41,-70.53235169037065,150.6030210563669,-89.07468130687656,-75.84000000000002,188.63,-51.800000000000004,64,55.40462230418649,74.3288230062159
PA2_TO_C2,42,-69.50208597534196,150.73928382249213,-89.38520441788361,-74.58,189.13,-51.800000000000004,64,56.76020336041295,76.14742117020378
PA2_TO_C2,43,-68.47031288272552,150.8739081752133,-89.69140715404404,-73.31999999999998,189.62,-51.800000000000004,64,58.11212791452093,77.9611139041484
