probe_config,condition,public_condition,scan_id,pa_s_mm,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm_raw,source_to_focus_mm_raw,ut_path_mm_display,geometry_center_mm_display,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,edm_detectability_db
1D16,PA1_TO_C1,PA1 → C1,10,16.85271105173445,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-135.3024148437535,157.92281289642793,-86.93037713999999,-113.3016834944249,130.60654183979702,-51.8,55.389890969753765,49.64226266341307,55.234677702077896,53.58945505854767,19.851760112608666,19.739197004647572,51.75330060250189,1.0730514471587735,16,1.4443068689859824,-0.04481376554026349,0.626469204772763,0.3166848214815206,0.3642065162582154,0.5764228645116412,1.0058513618011016,96.69180537851786,1.0402653646433753,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,23.653871490699032,-12.521955340009258
1D16,PA1_TO_C1,PA1 → C1,11,18.535242173878554,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-133.82283953829096,158.5578860389059,-86.44206371999998,-112.15856751978896,131.58710612802994,-51.8,55.35780338747901,48.95749411349705,55.225492832402814,53.393444345284195,21.349084951758332,21.239149549412982,51.12127661066822,1.0700243777872789,16,1.4451440466312764,-0.34939188535801236,0.5819620597331808,0.29435665209603856,0.33262536762499967,0.5340980621012276,0.9288640654578129,98.04423381785573,0.9473928545185377,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,21.843417497914547,-13.21358826772025
1D16,PA1_TO_C1,PA1 → C1,12,20.209105802724146,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-132.34412773399032,159.18438922350688,-85.97012664,-111.00774198986298,132.5586618418747,-51.8,55.38040985579581,48.288386490095476,55.23196379252458,53.20191647425528,22.846402001462295,22.739433100906304,50.4966135304669,1.0673765740659782,16,1.444554134003536,-0.13661629417010332,0.5377026885426028,0.27185922455966144,0.3014571158786183,0.49161494923122784,0.8519450317356061,99.40278292347865,0.8570635616826167,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,20.034568787309926,-13.964400012773563
1D16,PA1_TO_C1,PA1 → C1,13,21.890849196385524,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-130.85578320019675,159.80836126241908,-85.49710414,-109.85149267437232,133.52375610468974,-51.8,55.450198168479176,47.61885672937745,55.25194026041026,53.01026776906057,24.343956777486728,24.23950565251386,49.871543415512605,1.0699482085297485,16,1.4427360522126362,0.5156248056825785,0.49414218737419996,0.2495208620253895,0.27116278177025965,0.44959567828370806,0.7762234576634858,100.80040407687363,0.7700598670929064,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,18.253879860301684,-14.772896242962847
1D16,PA1_TO_C1,PA1 → C1,14,23.563619434864517,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-129.372420748026,160.42351648234117,-85.02872378,-108.68080939579498,134.471273148349,-51.8,55.56679826313691,46.96604942366405,55.285316308015325,52.82340576198944,25.840130695367733,25.73936365173314,49.24585493236962,1.0669086659837266,16,1.4397086479800314,0.9944897250812633,0.45167976413768574,0.22760054189131246,0.24209193432409157,0.40853100479853355,0.7025787848111501,102.20148509194173,0.6874447902387147,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,16.52203190166843,-15.63873087225209
1D16,PA1_TO_C1,PA1 → C1,15,25.228207034248328,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-127.88970162422818,161.03015370306392,-84.5766318,-107.50455468503364,135.4118845740274,-51.8,55.7361519254075,46.32663943189782,55.33379273430493,52.640378652217436,27.336449964851884,27.239541753123042,48.62639197526352,1.0646861595363897,16,1.4353341096648575,-0.18042063982244788,0.41063977041397925,0.20629184424104563,0.21449223543533052,0.36878299341222043,0.6316536584708774,103.61209142001785,0.6096331517045722,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,14.85413753116188,-16.563051187312176
1D16,PA1_TO_C1,PA1 → C1,16,26.900797369639978,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-126.39729447280997,161.63412806146707,-84.12331700999998,-106.32316097395022,136.3460194255881,-51.8,55.95173182038061,45.68649796864511,55.395501130498246,52.457142163308774,28.832891766531443,28.73938539080666,48.00670808395928,1.0684007554901471,16,1.4298038219231621,-0.7600469309450033,0.3713288091526407,0.18582457268081776,0.18862451834453067,0.33077272992339507,0.5641774567589949,105.06386379832104,0.5369852548369829,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,13.267349000980454,-17.544316929692872
1D16,PA1_TO_C1,PA1 → C1,17,28.58136871452332,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-124.8952239172675,162.2353138984563,-83.66869663999998,-105.13091956980664,137.2662663979146,-51.8,56.21357029696599,45.05213518753262,55.47045075626833,52.2755597860093,30.328348874825277,30.238270050469627,47.387894128002856,1.0680097133143818,16,1.4231439059532185,0.9936744931654107,0.3340000876171949,0.16636556624808818,0.16465388842258538,0.29480158957169195,0.5006568353938924,106.5432299716688,0.4699095714734981,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,11.773580963435565,-18.581828506719827
1D16,PA1_TO_C1,PA1 → C1,18,30.245290024980143,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-123.40312057148914,162.82482513737204,-83.22740508999999,-103.9289614713292,138.17378085317122,-51.8,56.52137154879266,44.43645629042588,55.558556938892124,52.0993255536136,31.822962178197475,31.73730771321451,46.76974172339851,1.0652730544029492,16,1.415393820210806,-0.9993773238895807,0.29881129501703374,0.14802748113170414,0.1426608507248661,0.26106619755101973,0.441403623526072,108.01941470373708,0.4086336004844146,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,10.380166476803161,-19.675913624592834
1D16,PA1_TO_C1,PA1 → C1,19,31.909480933686105,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-121.90633193582056,163.4086707967418,-82.79349334,-102.72024413796868,139.07229639301443,-51.8,56.87593969301495,43.82877723051263,55.66004985187425,51.92538122456479,33.31729106097404,33.23601667559026,46.15451994662452,1.0631621875664743,16,1.4065701671356292,0.9633027369484057,0.2659019655540526,0.13090342024586962,0.1226906699743638,0.22972202663694577,0.3866528934857434,109.51708679333964,0.3530525736274953,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,9.092633565303286,-20.82620621404758
