scan_id,focus_x,focus_y,focus_z,condition,max_response_raw,mean_response_raw,sigma_mm,n_elements,physics_level
27,-94.03499999999998,162.60000000000002,-51.79999999999998,A_PA1_to_C1,1.032192951086449,0.010805341650333602,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
28,-92.84499999999998,163.29500000000004,-51.79999999999998,A_PA1_to_C1,1.0027594108937468,0.010825971004359254,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
29,-91.65,163.975,-51.79999999999998,A_PA1_to_C1,0.9960715352977875,0.010777498826552982,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
30,-90.44500000000002,164.64999999999998,-51.79999999999998,A_PA1_to_C1,0.9681546670983958,0.010647410395560154,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
31,-89.24000000000001,165.31500000000003,-51.79999999999998,A_PA1_to_C1,0.8990458348914695,0.010546307875067615,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
32,-88.03000000000002,165.97000000000003,-51.79999999999998,A_PA1_to_C1,0.9080198508119242,0.010510645359189184,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
33,-86.815,166.61999999999998,-51.79999999999998,A_PA1_to_C1,0.8957797858429879,0.010453980535502966,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
34,-85.58999999999999,167.25499999999994,-51.79999999999998,A_PA1_to_C1,0.8802127783902381,0.01031798767811771,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
35,-84.36499999999998,167.88499999999996,-51.79999999999998,A_PA1_to_C1,0.8113086525199708,0.010088049799534723,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
36,-83.13499999999996,168.505,-51.79999999999998,A_PA1_to_C1,0.7903762090917092,0.010061407224943586,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
37,-81.89999999999998,169.115,-51.79999999999998,A_PA1_to_C1,0.786828507538314,0.009932503784982269,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
38,-80.66,169.71999999999997,-51.79999999999998,A_PA1_to_C1,0.776122224112397,0.009852070134058663,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
39,-79.41999999999999,170.30999999999997,-51.79999999999998,A_PA1_to_C1,0.7198082406668047,0.009753378999919744,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
40,-78.17,170.89499999999995,-51.79999999999998,A_PA1_to_C1,0.664290438776668,0.009601792186551971,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
41,-76.91499999999999,171.47000000000003,-51.79999999999998,A_PA1_to_C1,0.648497500215659,0.009370494752220286,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
42,-75.66,172.03500000000005,-51.79999999999998,A_PA1_to_C1,0.6525203540110426,0.009406682102822072,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
43,-74.39499999999998,172.58999999999995,-51.79999999999998,A_PA1_to_C1,0.6234768603892148,0.00921562506338,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
44,-73.12999999999998,173.13499999999996,-51.79999999999998,A_PA1_to_C1,0.563958984271496,0.009004382753127085,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
